Make,Colour,Odometer,Doors,Price
Toyota,White,150043.0,4.0,"$4,000"
Honda,Red,87899.0,4.0,"$5,000"
Toyota,Blue,,3.0,"$7,000"
BMW,Black,11179.0,5.0,"$22,000"
Nissan,White,213095.0,4.0,"$3,500"
Toyota,Green,,4.0,"$4,500"
Honda,,,4.0,"$7,500"
Honda,Blue,,4.0,
Toyota,White,60000.0,,
,White,31600.0,4.0,"$9,700"
Honda,White,115842.0,4.0,"$7,900"
Honda,White,123089.0,4.0,"$12,600"
Nissan,Black,98887.0,4.0,"$7,000"
Honda,Red,167802.0,4.0,"$8,100"
Toyota,Red,73587.0,4.0,"$12,900"
Nissan,Silver,86048.0,4.0,"$6,900"
Toyota,Blue,110582.0,4.0,"$3,400"
Nissan,White,15404.0,4.0,"$9,900"
Nissan,Blue,55281.0,4.0,"$10,300"
Toyota,Blue,50782.0,5.0,"$8,500"
Honda,Red,162351.0,4.0,"$5,300"
Honda,Blue,95241.0,4.0,"$5,000"
Nissan,Black,81514.0,4.0,"$8,800"
BMW,Black,16658.0,3.0,"$29,300"
Toyota,Red,66766.0,5.0,"$11,300"
Honda,Blue,63118.0,4.0,"$16,300"
Honda,Black,91352.0,4.0,"$6,500"
Toyota,Black,140772.0,4.0,"$4,500"
Toyota,Green,108860.0,5.0,"$3,400"
Nissan,Blue,37621.0,4.0,"$10,800"
Toyota,White,136400.0,,"$8,900"
Toyota,White,91986.0,4.0,"$9,500"
Toyota,Black,21116.0,5.0,"$12,400"
Honda,Black,69889.0,5.0,"$14,600"
Honda,Red,108493.0,4.0,"$3,300"
Toyota,White,114852.0,3.0,"$7,300"
Toyota,White,62800.0,4.0,"$13,800"
Honda,Black,141487.0,4.0,"$10,100"
Nissan,Black,65003.0,4.0,"$8,400"
Toyota,White,115225.0,5.0,"$13,200"
Nissan,White,85166.0,4.0,"$7,600"
Honda,Silver,38895.0,4.0,"$8,400"
Nissan,Blue,157501.0,4.0,"$8,200"
Toyota,Green,94255.0,5.0,"$13,600"
BMW,Black,80188.0,5.0,"$21,200"
BMW,Grey,80178.0,5.0,"$35,200"
Toyota,White,96137.0,5.0,"$16,000"
Nissan,Silver,3000.0,5.0,"$14,800"
Toyota,Red,102526.0,4.0,"$8,900"
Toyota,White,102771.0,4.0,"$3,600"
Toyota,White,86577.0,4.0,"$11,900"
Honda,Silver,162938.0,4.0,"$4,600"
Honda,Blue,53192.0,4.0,"$9,700"
Toyota,White,145600.0,3.0,"$8,100"
Toyota,Blue,70452.0,4.0,"$13,100"
Toyota,Black,103048.0,3.0,"$12,400"
Toyota,Black,61493.0,4.0,"$11,100"
BMW,Black,48531.0,4.0,"$16,700"
Nissan,Blue,128582.0,4.0,"$6,700"
Toyota,Red,98265.0,5.0,"$10,000"
Honda,Black,24062.0,,"$11,600"
Honda,Silver,75549.0,4.0,"$7,900"
Nissan,Blue,102968.0,4.0,"$8,300"
Toyota,Red,196081.0,4.0,"$6,000"
Nissan,Black,126422.0,5.0,"$6,900"
Toyota,White,3000.0,4.0,"$14,600"
Honda,White,94891.0,5.0,"$17,400"
Nissan,Black,101227.0,5.0,"$9,000"
Toyota,Blue,96194.0,4.0,"$6,500"
Toyota,Red,157426.0,4.0,"$9,700"
Nissan,White,156297.0,5.0,"$3,100"
BMW,Grey,123917.0,,"$14,000"
Nissan,Black,144863.0,4.0,"$11,200"
Nissan,Blue,56529.0,5.0,"$8,600"
Nissan,White,117580.0,5.0,"$6,000"
Toyota,Green,17365.0,4.0,
Honda,Red,41009.0,4.0,"$13,100"
Toyota,White,50189.0,5.0,"$18,100"
Nissan,Red,68137.0,4.0,"$7,900"
Toyota,Black,140302.0,4.0,"$4,500"
Toyota,Black,109827.0,4.0,"$14,000"
BMW,Black,3000.0,4.0,
Honda,Black,104474.0,4.0,"$11,400"
Toyota,Black,33678.0,4.0,"$9,200"
Honda,Red,117053.0,4.0,"$9,000"
Honda,Black,104023.0,4.0,"$10,200"
Toyota,Black,62638.0,4.0,"$12,800"
