,Actual,Predicted
7088,12600.0,8064.481811545856
2036,2500.0,9937.140650697691
457,16100.0,13290.644413856135
9156,6600.0,9938.008818417078
321,9200.0,9573.702932411556
7324,10700.0,11178.350209818229
2439,15400.0,8460.33134913129
2574,4600.0,10745.539248845413
7698,28500.0,30685.330487606647
637,11200.0,9878.152361366634
5852,14600.0,13555.325926101872
2526,7800.0,6495.429563722541
1730,28700.0,26056.972839517384
5137,12200.0,6585.454222872129
1569,24600.0,24082.05706256132
5361,12600.0,13232.439021633314
8970,9600.0,11987.723602010323
4123,12800.0,24860.55742578913
346,9600.0,9931.87882637207
7850,2600.0,7431.000170820394
3964,12600.0,10569.986472892673
2794,6700.0,10413.563212464294
7920,7600.0,8740.017409674305
4112,10700.0,7336.432045039238
1954,3600.0,7780.421725120598
3780,12700.0,13061.603273320488
5065,11800.0,10165.083616420578
9458,3700.0,10773.844791748148
8406,12700.0,9459.880824086587
5620,12700.0,11894.311276056946
7313,8400.0,10718.638136564206
1087,15600.0,13550.759551811461
2651,13600.0,11291.322662405859
8995,9900.0,12562.96846806493
3689,4800.0,4434.472475318957
2225,6400.0,7257.413548389317
4894,10500.0,11428.651348809826
6309,6000.0,10523.582580717935
4030,9700.0,11586.653984619532
2684,12400.0,11100.54541655497
1699,6000.0,6170.954824970427
6693,9700.0,12074.180440865057
2926,26000.0,24935.008150287875
7945,5500.0,10078.107690915376
2628,10300.0,8323.174869264054
4860,16100.0,8772.758570890977
9056,12100.0,14084.908815813129
1429,15900.0,10188.284291627155
8861,14100.0,13535.279051101872
6337,4200.0,6775.176037153844
8672,35400.0,26709.70017158309
4965,7700.0,9567.512064779577
3011,3900.0,4758.024155620354
6203,8200.0,6784.453504936315
4818,16300.0,11871.433707402826
3473,10700.0,9774.96145496329
971,4100.0,4827.731512159315
4085,4900.0,4422.802576363614
1413,16800.0,11488.428038611071
7194,15300.0,13903.958849450317
9464,7500.0,10848.197304957524
1247,4500.0,11116.336276056616
7255,5300.0,7902.327674619917
7974,4000.0,5902.115697885528
6634,8200.0,11813.127609105977
5215,6600.0,7125.991437391848
4572,13100.0,11398.30438735884
7840,12100.0,11645.139586615716
563,7500.0,6035.478296531274
3000,15100.0,13295.83517234084
6803,8000.0,6454.80171585042
4246,13900.0,11532.350778838709
7954,22300.0,26065.43430363061
6839,6600.0,5469.011120081193
2516,14500.0,6263.122283665915
1785,7200.0,8195.318771896362
9094,12200.0,13468.705467117354
7979,34200.0,26209.463208774636
6992,12200.0,6884.1854621379325
2373,11400.0,7485.3374177504875
4692,6200.0,8661.220520098614
9496,20600.0,19030.764191599577
5125,7000.0,9938.008818417078
8049,3700.0,6681.7104502681095
5015,11500.0,10841.68385275
4438,22800.0,26852.7042318297
4427,3600.0,8379.31539985044
7552,14000.0,9725.182250958447
6989,11600.0,7494.731816816392
763,11400.0,8683.857311576308
3753,11900.0,6419.192208458627
7462,11200.0,10219.403674059908
4503,5300.0,8348.0460408461
4900,9900.0,10575.503888214542
3,3500.0,4107.408538117668
2886,13500.0,8299.902782689043
1245,7400.0,10737.927126923641
7682,5300.0,6302.66026629637
543,6900.0,8429.310409616273
0,4000.0,8338.214930390113
6901,8700.0,11051.463095460693
4359,32400.0,25093.984100164624
5048,4100.0,10400.970137944381
592,24900.0,24178.175456200566
8098,15000.0,13352.807433554168
4638,8500.0,8672.47616073908
7289,6000.0,9346.053635332379
4028,13100.0,12065.765843958518
2835,14300.0,12482.772710757105
7012,13100.0,8827.00677406878
9295,13100.0,14107.067094579446
1220,3700.0,4680.294196209198
5479,11600.0,11096.698404992609
1512,7400.0,13235.104879591752
360,5100.0,4396.750990803699
5573,7100.0,9345.178865380838
5836,13200.0,12715.300896373472
4303,11200.0,13440.111260786263
6224,8900.0,6839.230640013635
6817,12000.0,22930.4803180125
3887,6400.0,9369.20417412836
3487,13200.0,10301.002505137409
6810,13700.0,10190.292356268363
6878,24100.0,25315.12011910624
2771,3500.0,6493.222059398099
5615,7400.0,10968.666545958386
4084,12700.0,12160.571113724603
5814,6300.0,11152.813780402837
2458,2500.0,5655.682166172362
6170,9300.0,11403.706337399737
2251,26800.0,23742.85676151308
251,6300.0,9229.924953389855
4480,13800.0,12022.976358413407
3098,3800.0,8823.574630562565
9372,8900.0,10056.698467754304
1111,7400.0,10383.637549327537
4032,7100.0,7420.722393042616
1945,4500.0,10397.418239864515
2728,10000.0,12384.462652694358
3281,6800.0,9423.628123089557
8674,8600.0,8410.529529182439
9388,13300.0,9097.243603715526
8265,10900.0,11126.426124184969
1071,11800.0,10083.380350301124
6688,8100.0,7509.5847089064355
9117,20100.0,11910.9881233388
1688,10200.0,6224.609918046115
2944,6900.0,8263.497961416657
2680,2500.0,9214.665215905115
3047,17300.0,26230.338011936197
9463,13400.0,10903.609086230756
6798,8200.0,9667.453998033105
3833,17800.0,10343.640764660458
1758,3300.0,4312.682938398721
3542,4500.0,8646.656163023337
6814,7700.0,10688.829520399566
9238,4500.0,5551.223745524451
6851,11100.0,8940.289235848728
4332,7500.0,12270.730816107254
5649,10700.0,10426.126687993812
5768,28000.0,21306.841888456238
4428,9500.0,8536.590070014428
2615,13800.0,10285.268157318882
2407,7300.0,10498.217723432817
8324,6900.0,10949.31087776836
7318,5000.0,7065.248405230814
131,4300.0,7770.497344109994
8496,10600.0,9769.886854309161
106,10300.0,8287.364169197483
5467,10100.0,8901.99281892927
9488,12400.0,8624.744975779166
29,7300.0,8321.283674035378
5912,10500.0,11206.885932268591
4633,7000.0,9234.055385179552
2260,10400.0,10432.632387699137
7142,30200.0,28377.86806022353
1068,15300.0,11918.176001637143
7461,7900.0,11588.382267426594
4201,11500.0,8870.797163212008
2691,11500.0,10396.73868028841
36,8200.0,4809.7136189414205
2288,13100.0,12676.817490973426
7713,2500.0,4953.323820706689
3934,23800.0,19882.39000598427
1618,13100.0,12665.44562277045
6022,10500.0,10378.664740097242
7791,7400.0,7258.623517265829
3184,10900.0,12672.49775888132
3295,2500.0,4775.688528642844
7288,9600.0,8821.291917228651
9366,17500.0,13495.881733875749
1603,3600.0,10342.635976257809
6857,9700.0,12053.713269147887
4484,9800.0,9821.139128874593
5273,12000.0,13214.927262454801
4483,35300.0,23436.36508672929
4649,6000.0,8340.077517127422
7864,19700.0,26055.10268602584
8129,14100.0,13340.706199072252
6931,26500.0,24556.508421814415
7048,29500.0,25315.76480902262
1142,9200.0,8744.068143534789
3543,11600.0,10192.79052999521
4091,7900.0,10320.19484567387
5572,9000.0,10291.299159921078
9102,2500.0,6971.333155464128
5351,6700.0,6687.968856706948
7917,6400.0,8693.685705967355
765,11700.0,11443.492616686977
367,34900.0,25298.980928016157
8572,9000.0,12472.649001649239
5501,5100.0,7486.29776036937
5795,21000.0,26700.913500302566
2724,9400.0,8229.259701630352
7999,10100.0,11526.251985246496
6985,9400.0,12676.817490973426
9250,10800.0,10928.380491107724
6604,27200.0,23576.796740256894
7447,10900.0,10970.74916504287
8492,7400.0,6967.816706070226
9201,10900.0,9999.16170556203
7854,7500.0,9514.254469789565
7871,11300.0,8137.8977283626955
5210,2500.0,4277.446841500703
1623,3000.0,4654.4775975617995
5816,8500.0,9914.064028695942
2018,17800.0,13848.572228138732
7500,11300.0,13008.780895614924
3328,17800.0,13259.750211837241
1544,13600.0,12308.108040079693
6266,12300.0,10982.138487536175
4382,7900.0,7618.367842560967
8283,2500.0,6410.368111966222
7531,14400.0,13463.351328066665
5040,26900.0,20215.76832471236
6903,6600.0,9002.782902298231
5337,2500.0,4628.457153894966
5060,14200.0,10839.9049462248
9401,30400.0,26065.43430363061
5685,16900.0,24888.86628568141
5119,2500.0,13456.520207796082
871,17600.0,26796.267784525702
1046,13700.0,13642.381538638654
8309,10000.0,9935.6669558025
921,13600.0,13007.453347048364
8291,14900.0,11458.552883456628
4619,17500.0,28722.90419464721
2167,29700.0,24320.239573911942
9324,11500.0,8321.932065848243
5365,6700.0,6529.808202306398
3298,7600.0,8942.057282648548
603,8200.0,6786.319616028786
4291,2500.0,6986.346132564952
747,32500.0,26239.122825451195
447,4000.0,8238.69297767118
2348,7100.0,8079.294424145508
8524,13900.0,12523.88759387617
5936,9000.0,9306.276024264313
2750,7400.0,8514.758183926595
7703,5700.0,7067.857983686745
6678,39700.0,26475.612049397278
2002,2500.0,7715.769906372821
6387,7200.0,8475.902502706267
7896,14300.0,13669.06872179342
2473,11600.0,10176.712577334274
6001,7300.0,9710.501713932768
8047,18900.0,26230.338011936197
5225,14200.0,12996.111143248341
5133,15000.0,10166.199461273558
4734,11800.0,11249.737654966368
7659,11500.0,8306.467109240606
7476,12100.0,11194.008153468625
1010,15900.0,12059.324997287957
7705,7400.0,11289.67478470288
1034,7600.0,6712.672023205063
6070,2500.0,5119.721590634574
8965,10100.0,11123.0344806157
4412,7800.0,11043.534266570252
1479,9600.0,7679.829742403093
4686,6500.0,5797.9957331599235
3889,13200.0,10771.415690581995
789,2500.0,3564.2322703343425
518,6400.0,8176.753855775414
2478,7100.0,9673.027697377449
8934,3400.0,7694.102457518369
3070,16400.0,14048.97076537783
5826,10300.0,8923.793250566609
2826,3800.0,4424.900758052852
5381,6000.0,8968.25029746872
9008,6400.0,10103.627514666074
9359,11400.0,11789.658229788081
4925,5100.0,9388.639931989095
7610,16000.0,12013.125501423685
9246,12300.0,10951.852279595463
265,5700.0,7695.585074017173
8610,4300.0,4676.019249648921
3434,13900.0,13753.333119958932
5221,15500.0,8703.427914818336
7018,12500.0,10900.53362531577
2087,9200.0,6589.319362502532
8240,7500.0,7514.953493620505
1805,27600.0,25763.908789009914
794,10600.0,5323.030779423883
8700,21200.0,24111.153167905453
6310,30400.0,13669.69656486307
7702,10600.0,11076.789677783063
8825,12100.0,12050.03849605244
5502,13400.0,11189.278798461595
3014,9800.0,7976.23343316837
169,12300.0,11459.552688610682
267,13300.0,9757.064252755894
2576,16100.0,13607.716133512118
6840,9900.0,8293.891886373187
6661,10100.0,8285.018389356466
1155,16200.0,11059.009001626267
315,6200.0,11277.594200702277
2846,11900.0,8549.644415533778
1595,7700.0,8417.671020181986
6073,12400.0,8602.815656086988
245,4200.0,3991.689946519614
5905,12500.0,12788.573485256049
5651,5500.0,5817.223538700349
7440,2500.0,6294.997646136741
50,11100.0,12215.082039190862
668,7500.0,4528.296566198253
6794,11100.0,7889.708971119873
7740,11300.0,8438.596074941508
3944,6700.0,6849.442418505084
1144,7200.0,10029.570947774895
6843,6300.0,9310.656805486322
5741,19900.0,11540.87195813735
3153,7400.0,8175.858093761735
6466,12400.0,13646.890965172963
4607,8900.0,8803.504312221481
4793,27600.0,24709.700146302413
6749,36300.0,23833.16490080715
1768,7200.0,8030.111011248719
6215,7800.0,8373.624520822194
3715,7000.0,9707.111509469742
3698,41500.0,22702.619497010466
3677,11900.0,10854.415637714357
586,14800.0,10694.206925193048
5118,9100.0,11193.14329590214
7228,12900.0,13217.85747821945
1090,12200.0,12186.80198563519
8326,4200.0,10498.737588842316
7820,5100.0,6294.997646136741
4029,31100.0,25763.908789009914
1188,14400.0,12173.959008703918
1606,8600.0,12381.052184920243
8938,6700.0,8680.712049108208
1418,7500.0,9229.563250939875
2648,6300.0,5081.699779594586
9322,10400.0,8596.263420297417
7344,5200.0,6823.9465604918705
47,8100.0,7933.49877637719
9381,13200.0,9931.558649965194
318,9200.0,7356.871816943495
9116,4200.0,7949.283398566977
1285,7400.0,6943.1299180558235
9234,16400.0,13259.750211837241
1650,5600.0,7635.914525357839
3723,13800.0,8161.029595853718
4924,7100.0,7702.596088556939
3914,2500.0,4956.579609184448
624,6400.0,6812.668959482681
3761,22300.0,23909.25321429577
7064,11500.0,12844.858775405057
3608,9800.0,9179.854508943654
3208,17100.0,11661.778604044204
1313,10900.0,9440.717141739566
6821,7800.0,9814.481055540027
8296,2500.0,5886.812620081466
3329,6400.0,7485.020268050726
1597,13800.0,9163.444698879535
6037,2500.0,4676.019249648921
487,28500.0,21732.111460772674
2692,7000.0,8181.4365443096685
8963,4000.0,4100.35121710715
6151,3000.0,4704.80828260448
1608,11300.0,11269.31666843604
416,30600.0,28286.728200083668
119,11100.0,11412.078070873678
3131,5600.0,10083.829538102385
4952,6900.0,4601.098176287305
3739,8200.0,9608.139236635894
4830,7500.0,10840.381344315481
952,8400.0,9349.86216785699
623,12900.0,10466.90936237356
3018,25300.0,26230.338011936197
2122,11300.0,14429.794275152122
1147,11000.0,12658.876711823214
743,14800.0,9664.07322570125
1982,4400.0,5742.256949410002
4755,7000.0,9359.89327669989
88,13200.0,10012.798783276266
9108,5300.0,6320.688570095268
7492,10800.0,12574.277246820908
2726,8500.0,9307.153216653147
782,28500.0,22224.156176222823
3567,5900.0,7531.319473482407
7301,5100.0,7775.654046297535
7217,10900.0,10652.014384191869
5376,11300.0,7358.330781327867
2748,7700.0,11132.792180176524
2138,15700.0,12514.499130809514
4415,16300.0,11398.741199336191
5610,34400.0,27155.765776283926
5737,25300.0,23606.98329762379
5272,10500.0,9207.240873828898
3803,7100.0,8065.457242264163
7150,8100.0,10455.967282220743
286,16100.0,9067.342779855053
5939,7000.0,11405.387590329081
2605,11000.0,12074.037060828683
7189,7100.0,9907.345019647533
8809,16900.0,12844.858775405057
1339,19700.0,26188.581360351855
9280,12800.0,12254.102220454592
9466,7700.0,11047.182853900822
7465,22900.0,23689.585852310065
1775,22900.0,25102.276997961402
1737,12200.0,11106.29346059112
1740,11500.0,10767.508896590976
7015,7000.0,4929.452088846687
8957,16700.0,13037.222097048363
1295,31500.0,23979.281427382062
2045,27200.0,25602.041699942783
3185,11700.0,10994.937881572661
932,10900.0,11311.328819443897
8742,10700.0,7506.035177881905
9299,14700.0,12881.763895829747
4789,9200.0,11098.246479203119
9435,26200.0,26146.047135128625
2228,36400.0,24126.005260766888
4338,6700.0,8268.692545702943
2107,7900.0,5756.839699094775
1536,14700.0,8684.057322753653
274,7900.0,8654.689263447965
9515,6600.0,9694.74628184023
7640,11000.0,8318.846460852421
5824,11700.0,9651.88269627517
1482,13100.0,11763.690103713661
3548,5800.0,8155.179310428548
5544,15200.0,11088.359895633104
6442,15500.0,13422.470419340287
9058,14300.0,12441.998750247189
2858,14200.0,12127.166160505321
8300,11200.0,6821.115622754936
9340,19400.0,25335.065746590484
4292,8100.0,7666.1244895221735
8760,3000.0,5619.068099638463
